ownerId,id,type,title,content,status,createdBy,approver,createdAt,processedAt,relatedIncidentId
choiyowon,appr-005,조사보고서,망원동 놀이터 현장 조사 계획서,민원인 접촉 및 야간 잠복 조사 계획입니다.,결재대기,choiyowon,agent-team-lead,2026-01-01T09:30:00,,inc-003
choiyowon,appr-006,장비품의서,손전등 교체 요청,기존 지급된 손전등(일반) 고장으로 인한 교체 신청. 특수 장비 아님.,승인,choiyowon,agent-admin-002,2026-01-09T03:20:10.512Z,,
choiyowon,appr-007,현장정리보고서,자작나무숲 결계 설치 결과,1차 결계 설치 완료. 특이사항 없음.,작성중,choiyowon,agent-team-lead,2026-01-01T08:00:00,,inc-007
choiyowon,appr-008,시말서,관용차 접촉 사고 시말서,현장 출동 중 주차 기둥과 경미한 접촉 사고 발생... 죄송합니다.,반려,choiyowon,agent-team-lead,2026-01-08T03:20:10.512Z,,
choiyowon,appr-009,휴가신청서,휴가(1일) 신청서,개인 사정으로 인한 연차 신청,승인,choiyowon,agent-team-lead,2025-04-11T09:00:00,,
choiyowon,appr-010,휴가신청서,휴가(1일) 신청서,개인 사정으로 인한 연차 신청,승인,choiyowon,agent-team-lead,2025-08-11T09:00:00,,
choiyowon,appr-011,휴가신청서,휴가(1일) 신청서,개인 사정으로 인한 연차 신청,승인,choiyowon,agent-team-lead,2025-10-14T09:00:00,,
choiyowon,appr-012,시말서,복장 규정 위반 시말서,"현장 출동 시 유니폼 착용을 준수하지 못했습니다. 급한 출동으로 인해 사복 상태로 현장에 도착하였으며, 향후에는 규정을 철저히 준수하겠습니다.",승인,choiyowon,agent-team-lead,2026-01-01T03:20:10.512Z,,
choiyowon,appr-013,시말서,보고 누락 시말서,지난주 금요일 야간 순찰 결과를 구두로만 보고하고 서면 보고를 누락하였습니다. 재발 방지를 위해 체크리스트를 활용하겠습니다.,승인,choiyowon,agent-team-lead,2025-12-22T03:20:10.512Z,,
choiyowon,appr-014,시말서,공용 비품 파손 시말서,"사무실 내 커피 머신 사용 중 부주의로 인해 물통을 깨뜨렸습니다. 동일한 제품으로 배상 조치 완료하였으며, 물품 사용에 더욱 주의하겠습니다.",승인,choiyowon,agent-team-lead,2025-12-12T03:20:10.512Z,,
haegeum,appr-009,휴가신청서,1월 연차 사용 신청,개인 사정으로 인한 연차 신청 (1/15),승인,haegeum,agent-chief-001,2026-01-06T03:20:10.512Z,2026-01-06T03:20:10.512Z,
haegeum,appr-011,장비품의서,현장 조사용 특수 필름 신청,"팀장님, 이번 파주 현장 조사에 필요한 고감도 필름 10롤 신청합니다. 결재 부탁드립니다.",승인,agent-hm3-002,haegeum,2026-01-10T03:20:10.512Z,2026-01-10T03:20:10.512Z,
haegeum,appr-012,출동일지,B구역 순찰 보고,금일 오전 B구역 순찰 결과 특이사항 없습니다. 세부 내용은 첨부파일 확인 부탁드립니다.,승인,agent-hm3-003,haegeum,2026-01-08T03:20:10.512Z,2026-01-08T03:20:10.512Z,
haegeum,appr-013,휴가신청서,개인 연차 신청,"팀장님, 개인 사정으로 다음 주 월요일 연차 신청합니다. 업무 대행은 김하늘 요원이 맡기로 했습니다.",결재대기,agent-hm3-004,haegeum,2026-01-05T03:20:10.512Z,,
haegeum,appr-014,장비수리요청서,무전기 수리 요청,지급받은 무전기(RT-04) 수신 감도가 떨어져 수리 요청합니다. 확인 부탁드립니다.,결재대기,agent-hm3-005,haegeum,2026-01-09T03:20:10.512Z,,
janghyeowoon,appr-020,현장정리보고서,A-12 구역 현장정리 확인 보고서,"A-12 구역 재난 현장 정리가 완료되었습니다. 오염 물질 수거 및 현장 소독 완료하였으며, 잔류 오염도 측정 결과 정상 범위입니다.",승인,janghyeowoon,agent-jj-leader,2025-03-27T17:00:00,2025-03-27T17:00:00,
